Date,Open
11/11/2017,7.25
11/12/2017,7.25
11/13/2017,7.25
11/14/2017,7.02
11/15/2017,7.93
11/16/2017,8.12
11/17/2017,8.13
11/18/2017,10.35
11/19/2017,10.35
11/20/2017,10.35
11/21/2017,11.26
11/22/2017,15.99
11/23/2017,23.6
11/24/2017,23.6
11/25/2017,15.6
11/26/2017,15.6
11/27/2017,15.6
11/28/2017,15.25
11/29/2017,13.18
11/30/2017,13.5
12/01/2017,15.0
12/02/2017,15.07
12/03/2017,15.07
12/04/2017,15.07
12/05/2017,14.14
12/06/2017,13.7018
12/07/2017,14.6
12/08/2017,15.86
12/09/2017,23.08
12/10/2017,23.08
12/11/2017,23.08
12/12/2017,28.2
12/13/2017,23.03
12/14/2017,24.98
12/15/2017,28.5
12/16/2017,36.47
12/17/2017,36.47
12/18/2017,36.47
12/19/2017,38.6
12/20/2017,36.12
12/21/2017,27.6
12/22/2017,24.52
12/23/2017,31.22
12/24/2017,31.22
12/25/2017,31.22
12/26/2017,31.22
12/27/2017,29.8
12/28/2017,27.23
12/29/2017,28.4
12/30/2017,27.9
12/31/2017,27.9
01/01/2018,27.9
01/02/2018,27.9
01/03/2018,24.36
01/04/2018,24.27
01/05/2018,24.43
01/06/2018,23.42
01/07/2018,23.42
01/08/2018,23.42
01/09/2018,24.02
01/10/2018,22.94
01/11/2018,20.85
01/12/2018,21.88
01/13/2018,18.28
01/14/2018,18.28
01/15/2018,18.28
01/16/2018,18.28
01/17/2018,17.76
01/18/2018,19.8
01/19/2018,19.91
01/20/2018,19.48
01/21/2018,19.48
01/22/2018,19.48
01/23/2018,19.6
01/24/2018,19.24
01/25/2018,17.91
01/26/2018,17.13
01/27/2018,15.23
01/28/2018,15.23
01/29/2018,15.23
01/30/2018,14.28
01/31/2018,13.75
02/01/2018,12.3
02/02/2018,12.16
02/03/2018,10.7
02/04/2018,10.7
02/05/2018,10.7
02/06/2018,12.95
02/07/2018,14.32
02/08/2018,14.89
02/09/2018,16.05
02/10/2018,17.54
02/11/2018,17.54
02/12/2018,17.54
02/13/2018,16.06
02/14/2018,16.59
02/15/2018,17.2
02/16/2018,11.46
02/17/2018,10.92
02/18/2018,10.92
02/19/2018,10.92
02/20/2018,10.92
02/21/2018,10.6
02/22/2018,9.98
02/23/2018,10.27
02/24/2018,9.9
02/25/2018,9.9
02/26/2018,9.9
02/27/2018,9.96
02/28/2018,10.58
03/01/2018,10.13
03/02/2018,10.58
03/03/2018,10.83
03/04/2018,10.83
03/05/2018,10.83
03/06/2018,10.39
03/07/2018,10.08
03/08/2018,9.57
03/09/2018,9.24
03/10/2018,8.97
03/11/2018,8.97
03/12/2018,8.97
03/13/2018,8.7
03/14/2018,8.15
03/15/2018,7.51
03/16/2018,8.29
03/17/2018,8.42
03/18/2018,8.42
03/19/2018,8.42
03/20/2018,8.02
03/21/2018,7.94
03/22/2018,7.63
03/23/2018,7.5
03/24/2018,7.36
03/25/2018,7.36
03/26/2018,7.36
03/27/2018,6.95
03/28/2018,6.28
03/29/2018,6.62
03/30/2018,6.36
03/31/2018,6.36
04/01/2018,6.36
04/02/2018,6.36
04/03/2018,6.53
04/04/2018,6.42
04/05/2018,7.22
04/06/2018,6.64
04/07/2018,6.4
04/08/2018,6.4
04/09/2018,6.4
04/10/2018,6.49
04/11/2018,6.62
04/12/2018,7.47
04/13/2018,7.75
04/14/2018,7.31
04/15/2018,7.31
04/16/2018,7.31
04/17/2018,7.3
04/18/2018,6.87
04/19/2018,6.7
04/20/2018,6.65
04/21/2018,6.55
04/22/2018,6.55
04/23/2018,6.55
04/24/2018,7.58
04/25/2018,7.36
04/26/2018,7.47
04/27/2018,7.49
04/28/2018,7.22
04/29/2018,7.22
04/30/2018,7.22
05/01/2018,7.32
05/02/2018,7.24
05/03/2018,7.64
05/04/2018,7.56
05/05/2018,7.58
05/06/2018,7.58
05/07/2018,7.58
05/08/2018,7.4
05/09/2018,7.44
05/10/2018,7.23
05/11/2018,7.38
05/12/2018,7.63
05/13/2018,7.63
05/14/2018,7.63
05/15/2018,7.83
05/16/2018,8.5
05/17/2018,9.51
05/18/2018,9.0
05/19/2018,8.28
05/20/2018,8.28
05/21/2018,8.28
05/22/2018,7.85
05/23/2018,7.89
05/24/2018,7.79
05/25/2018,7.59
05/26/2018,7.08
05/27/2018,7.08
05/28/2018,7.08
05/29/2018,7.08
05/30/2018,6.97
05/31/2018,6.98
06/01/2018,7.39
06/02/2018,7.73
06/03/2018,7.73
06/04/2018,7.73
06/05/2018,7.8
06/06/2018,7.78
06/07/2018,7.65
06/08/2018,7.71
06/09/2018,7.44
06/10/2018,7.44
06/11/2018,7.44
06/12/2018,7.36
06/13/2018,7.26
06/14/2018,7.54
06/15/2018,7.4
06/16/2018,7.38
06/17/2018,7.38
06/18/2018,7.38
06/19/2018,7.32
06/20/2018,7.35
06/21/2018,7.27
06/22/2018,6.88
06/23/2018,6.57
06/24/2018,6.57
06/25/2018,6.57
06/26/2018,6.8
06/27/2018,6.59
06/28/2018,6.56
06/29/2018,6.34
06/30/2018,6.38
07/01/2018,6.38
07/02/2018,6.38
07/03/2018,6.25
07/04/2018,6.01
07/05/2018,6.01
07/06/2018,5.15
07/07/2018,4.865
07/08/2018,4.865
07/09/2018,4.865
07/10/2018,4.65
07/11/2018,4.68
07/12/2018,4.57
07/13/2018,4.66
07/14/2018,4.57
07/15/2018,4.57
07/16/2018,4.57
07/17/2018,6.29
07/18/2018,5.73
07/19/2018,6.07
07/20/2018,5.9
07/21/2018,6.59
07/22/2018,6.59
07/23/2018,6.59
07/24/2018,8.4
07/25/2018,7.98
07/26/2018,7.9
07/27/2018,7.59
07/28/2018,7.62
07/29/2018,7.62
07/30/2018,7.62
07/31/2018,6.49
08/01/2018,6.43
08/02/2018,6.79
08/03/2018,6.83
08/04/2018,6.8
08/05/2018,6.8
08/06/2018,6.8
08/07/2018,6.93
08/08/2018,6.73
08/09/2018,6.8
08/10/2018,6.96
08/11/2018,6.71
08/12/2018,6.71
08/13/2018,6.71
08/14/2018,6.65
08/15/2018,5.35
08/16/2018,5.39
08/17/2018,5.37
08/18/2018,5.31
08/19/2018,5.31
08/20/2018,5.31
08/21/2018,5.31
08/22/2018,5.63
08/23/2018,5.47
08/24/2018,5.5
08/25/2018,5.76
