"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 10, 2020","123.62","123.38","124.41","122.38","47.25K","0.19%"
"Aug 07, 2020","123.39","123.00","124.01","122.34","36.96K","0.03%"
"Aug 06, 2020","123.35","123.80","123.90","122.15","34.81K","-0.48%"
"Aug 05, 2020","123.95","124.11","125.17","123.34","52.30K","0.51%"
"Aug 04, 2020","123.32","123.12","123.39","121.83","50.22K","-0.27%"
"Aug 03, 2020","123.66","124.37","124.37","122.48","52.62K","-0.21%"
"Jul 31, 2020","123.92","121.70","124.26","120.00","82.44K","1.45%"
"Jul 30, 2020","122.15","120.73","122.96","120.54","55.99K","-0.48%"
"Jul 29, 2020","122.74","123.99","127.26","118.65","143.84K","4.18%"
"Jul 28, 2020","117.81","117.06","119.25","115.87","66.83K","0.13%"
"Jul 27, 2020","117.66","117.55","118.55","116.26","67.76K","0.61%"
"Jul 24, 2020","116.95","118.87","119.24","116.32","54.50K","-2.35%"
"Jul 23, 2020","119.76","120.69","122.58","119.34","49.90K","-1.20%"
"Jul 22, 2020","121.21","121.06","122.51","119.94","41.70K","0.14%"
"Jul 21, 2020","121.04","121.48","122.00","120.04","72.93K","0.44%"
"Jul 20, 2020","120.51","118.10","121.42","118.10","31.42K","1.83%"
"Jul 17, 2020","118.34","118.05","119.72","117.23","40.09K","-0.10%"
"Jul 16, 2020","118.46","119.57","119.57","117.85","61.17K","-1.65%"
"Jul 15, 2020","120.45","118.05","121.43","117.86","80.30K","3.25%"
"Jul 14, 2020","116.66","116.29","117.41","114.21","108.02K","0.75%"
"Jul 13, 2020","115.79","118.11","119.78","115.68","68.14K","-1.59%"
"Jul 10, 2020","117.66","117.65","118.66","117.18","47.81K","0.25%"
"Jul 09, 2020","117.37","117.89","118.38","116.09","39.47K","-0.72%"
"Jul 08, 2020","118.22","117.57","118.24","116.81","93.41K","0.11%"
"Jul 07, 2020","118.09","119.62","121.02","117.75","48.72K","-1.39%"
"Jul 06, 2020","119.75","118.83","120.68","117.92","80.23K","2.05%"
"Jul 02, 2020","117.35","118.65","119.43","117.00","50.29K","-0.38%"
"Jul 01, 2020","117.80","117.79","119.97","117.67","41.16K","-0.41%"
"Jun 30, 2020","118.29","118.05","119.77","117.66","46.69K","-0.18%"
"Jun 29, 2020","118.50","117.19","119.66","117.18","45.30K","2.16%"
"Jun 26, 2020","116.00","116.89","117.25","114.15","133.15K","-1.52%"
